date,time,action,dir,shares,price,stop,reason,pnl,balance,signal_details
2026-03-21,04:10,SELL,SHORT,1.649778,70739.96,70811.19,LFV sweep @ 70742.89,,10000.0,swept=70742.89 avwap=70591.07 poc=70480.29 proj_rr=3.6
2026-03-21,05:20,CLOSE,SHORT,1.649778,70764.96,70739.96,BE_STOP,-41.24,9958.76,entry=70739.96 trigger=70739.96 phase=2
2026-03-21,08:45,BUY,LONG,1.809854,70623.11,70563.06,LFV sweep @ 70615.74,,9958.76,swept=70615.74 avwap=70611.96 poc=70607.66 proj_rr=3.0
2026-03-21,10:20,CLOSE,LONG,1.809854,70538.06,70563.06,STOP,-153.93,9804.83,entry=70623.11 trigger=70563.06 phase=1
2026-03-22,09:10,BUY,LONG,0.999695,68842.77,68696.62,LFV sweep @ 68802.95,,9804.83,swept=68802.95 avwap=68824.12 poc=69284.51 proj_rr=3.0
2026-03-22,09:15,CLOSE,LONG,0.999695,68671.62,68696.62,STOP,-171.1,9633.72,entry=68842.77 trigger=68696.62 phase=1
2026-03-22,10:50,BUY,LONG,1.284632,68647.78,68547.8,LFV sweep @ 68628.95,,9633.72,swept=68628.95 avwap=68709.11 poc=69130.26 proj_rr=4.8
2026-03-22,11:25,CLOSE,LONG,1.284632,68522.8,68547.8,STOP,-160.56,9473.16,entry=68647.78 trigger=68547.80 phase=1
2026-03-24,07:15,SELL,SHORT,1.046379,70821.01,70952.07,LFV sweep @ 70823.09,,9473.16,swept=70823.09 avwap=70490.92 poc=70329.38 proj_rr=3.8
2026-03-24,07:20,CLOSE,SHORT,1.046379,70977.07,70952.07,STOP,-163.3,9309.86,entry=70821.01 trigger=70952.07 phase=1
2026-03-24,07:55,SELL,SHORT,1.148333,70998.62,71110.77,LFV sweep @ 71001.64,,9309.86,swept=71001.64 avwap=70548.44 poc=70317.53 proj_rr=6.1
2026-03-24,08:00,CLOSE,SHORT,1.148333,71135.77,71110.77,STOP,-157.49,9152.37,entry=70998.62 trigger=71110.77 phase=1
2026-03-25,03:00,SELL,SHORT,0.828219,70483.57,70654.58,LFV sweep @ 70513.67,,9152.37,swept=70513.67 avwap=70726.12 poc=70685.95 proj_rr=3.0
2026-03-25,03:35,CLOSE,SHORT,0.828219,70679.58,70654.58,STOP,-162.34,8990.03,entry=70483.57 trigger=70654.58 phase=1
2026-03-26,11:40,BUY,LONG,0.951172,69401.47,69262.44,LFV sweep @ 69383.37,,8990.03,swept=69383.37 avwap=69447.77 poc=70003.18 proj_rr=4.3
2026-03-26,12:00,CLOSE,LONG,0.951172,69237.44,69262.44,STOP,-156.02,8834.01,entry=69401.47 trigger=69262.44 phase=1
2026-03-26,12:50,BUY,LONG,1.186915,69386.9,69288.04,LFV sweep @ 69383.37,,8834.01,swept=69383.37 avwap=69415.63 poc=70034.06 proj_rr=6.5
2026-03-26,13:30,CLOSE,LONG,1.186915,69263.04,69288.04,STOP,-147.01,8687.0,entry=69386.90 trigger=69288.04 phase=1
2026-03-26,14:40,SELL,SHORT,0.580113,69609.75,69859.24,LFV sweep @ 69657.15,,8687.0,swept=69657.15 avwap=69613.00 poc=69674.71 proj_rr=3.0
2026-03-26,15:15,CLOSE,SHORT,0.580113,68913.07,68888.07,TRAIL_STOP,404.15,9091.15,entry=69609.75 trigger=68888.07 phase=3
2026-03-27,00:45,BUY,LONG,0.747332,68670.47,68477.17,LFV sweep @ 68623.62,,9091.15,swept=68623.62 avwap=68753.40 poc=68421.07 proj_rr=3.0
2026-03-27,03:05,CLOSE,LONG,0.747332,68645.47,68670.47,BE_STOP,-18.68,9072.47,entry=68670.47 trigger=68670.47 phase=2
2026-03-27,13:40,BUY,LONG,0.597541,66397.37,66143.71,LFV sweep @ 66371.24,,9072.47,swept=66371.24 avwap=66560.53 poc=68561.88 proj_rr=8.5
2026-03-27,13:55,CLOSE,LONG,0.597541,66118.71,66143.71,STOP,-166.51,8905.96,entry=66397.37 trigger=66143.71 phase=1
2026-03-27,18:45,BUY,LONG,0.792298,65796.4,65621.59,LFV sweep @ 65794.70,,8905.96,swept=65794.70 avwap=65892.62 poc=66516.38 proj_rr=4.1
2026-03-27,20:35,CLOSE,LONG,0.792298,65771.4,65796.4,BE_STOP,-19.81,8886.15,entry=65796.40 trigger=65796.40 phase=2
2026-03-29,03:25,SELL,SHORT,0.90257,66922.91,67069.81,LFV sweep @ 66952.62,,8886.15,swept=66952.62 avwap=66692.04 poc=66380.32 proj_rr=3.7
2026-03-29,07:00,CLOSE,SHORT,0.90257,66581.23,66556.23,TRAIL_STOP,308.38,9194.54,entry=66922.91 trigger=66556.23 phase=3
2026-03-29,17:10,BUY,LONG,1.288924,66467.48,66374.81,LFV sweep @ 66437.73,,9194.54,swept=66437.73 avwap=66518.76 poc=66761.50 proj_rr=3.2
2026-03-29,17:15,CLOSE,LONG,1.288924,66349.81,66374.81,STOP,-151.67,9042.87,entry=66467.48 trigger=66374.81 phase=1
2026-03-29,20:20,BUY,LONG,0.940932,66501.78,66359.57,LFV sweep @ 66437.73,,9042.87,swept=66437.73 avwap=66377.46 poc=66393.06 proj_rr=3.0
2026-03-29,22:00,CLOSE,LONG,0.940932,66334.57,66359.57,STOP,-157.33,8885.53,entry=66501.78 trigger=66359.57 phase=1
2026-03-29,22:05,SELL,SHORT,0.39802,66344.32,66740.81,LFV sweep @ 66449.12,,8885.53,swept=66449.12 avwap=66615.15 poc=66555.77 proj_rr=3.0
2026-03-29,22:45,CLOSE,SHORT,0.39802,65195.17,65170.17,TRAIL_STOP,457.38,9342.92,entry=66344.32 trigger=65170.17 phase=3
2026-03-30,08:50,SELL,SHORT,0.914009,67645.52,67799.95,LFV sweep @ 67655.23,,9342.92,swept=67655.23 avwap=67635.80 poc=66972.84 proj_rr=4.4
2026-03-30,11:25,CLOSE,SHORT,0.914009,67670.52,67645.52,BE_STOP,-22.85,9320.07,entry=67645.52 trigger=67645.52 phase=2
2026-03-31,15:15,BUY,LONG,0.393321,67095.05,66671.14,LFV sweep @ 67084.06,,9320.07,swept=67084.06 avwap=67159.33 poc=66638.82 proj_rr=3.0
2026-03-31,17:15,CLOSE,LONG,0.393321,68257.82,68282.82,TRAIL_STOP,457.34,9777.41,entry=67095.05 trigger=68282.82 phase=3
2026-04-01,00:05,SELL,SHORT,0.996278,68160.91,68307.18,LFV sweep @ 68192.36,,9777.41,swept=68192.36 avwap=68125.66 poc=68227.13 proj_rr=3.0
2026-04-01,00:50,CLOSE,SHORT,0.996278,68185.91,68160.91,BE_STOP,-24.91,9752.5,entry=68160.91 trigger=68160.91 phase=2
2026-04-01,17:00,SELL,SHORT,1.05289,68792.85,68928.1,LFV sweep @ 68809.09,,9752.5,swept=68809.09 avwap=68825.05 poc=68370.38 proj_rr=3.1
2026-04-01,17:05,CLOSE,SHORT,1.05289,68953.1,68928.1,STOP,-168.73,9583.77,entry=68792.85 trigger=68928.10 phase=1
2026-04-02,13:25,BUY,LONG,0.999307,65977.7,65835.89,LFV sweep @ 65967.66,,9583.77,swept=65967.66 avwap=66218.59 poc=66817.70 proj_rr=5.9
2026-04-02,13:35,CLOSE,LONG,0.999307,65810.89,65835.89,STOP,-166.69,9417.08,entry=65977.70 trigger=65835.89 phase=1
2026-04-03,19:25,BUY,LONG,1.547476,66826.63,66754.92,LFV sweep @ 66811.66,,9417.08,swept=66811.66 avwap=66781.56 poc=66780.05 proj_rr=3.0
2026-04-03,23:35,CLOSE,LONG,1.547476,66801.63,66826.63,BE_STOP,-38.69,9378.39,entry=66826.63 trigger=66826.63 phase=2
2026-04-04,08:10,SELL,SHORT,1.972169,67007.33,67052.44,LFV sweep @ 67021.13,,9378.39,swept=67021.13 avwap=66887.41 poc=66840.70 proj_rr=3.7
2026-04-04,10:40,CLOSE,SHORT,1.972169,67032.33,67007.33,BE_STOP,-49.3,9329.09,entry=67007.33 trigger=67007.33 phase=2
2026-04-04,21:30,BUY,LONG,2.080593,67270.28,67230.6,LFV sweep @ 67266.38,,9329.09,swept=67266.38 avwap=67303.54 poc=67390.78 proj_rr=3.0
2026-04-04,21:50,CLOSE,LONG,2.080593,67356.98,67381.98,TRAIL_STOP,180.39,9509.48,entry=67270.28 trigger=67381.98 phase=3
